S 农业科学 
          S379.3 仓库设备及管理 
          S379.5 防潮、防霉处理，防虫、防鼠、防火 
          S379.7 产品的变质处理 
          S379.9 其他 
      S38 农产品的综合利用 
      S39 农产副业技术 
    S4 植物保护 
      S40 动植物检疫 
      S41 植物检疫 
        S41-3 各种植物检疫 
          S41-30 植物病害、虫害及杂草检疫 
          S41-31 种子检疫 
          S41-32 种苗、苗木检疫 
          S41-33 果实检疫 
          [S41-34] 木材检疫 
          S41-35 传带物、运输工具检疫 
          S41-39 其他 
        S41-6 植物检疫参考工具书 
          S41-64 检疫对象图谱 
        S411 国际植物检疫 
          S411-2 国际植物检疫机构、团体、会议 
            S411-27 国际植物检疫会议 
        S412 中国植物检疫 
        S413/417 各国植物检疫 
      S42 气象灾害及其防御 
        [S421] 气象灾害的预测预报 
        S422 水灾 
        S423 旱灾 
          S423+.1  购 保墒 
          S423+.2 浇水 
          S423+.3 假植 
          S423+.4 加强作物耐旱性 
          S423+.9 人工降雨 
        S424 风灾 
        S425 霜冻 
        S426 寒潮 
        S427 冰雹、雪害 
        S428 暖害 
        S429 其他灾害 
      S43 病虫害及其防治 
        S431 植物病虫害的预测预报 
          S431.1 短期预测预报 
            S431.11 禾谷类作物 
            S431.12 豆类作物 
            S431.13 薯类作物 
            S431.14 饲料作物、牧草 
            S431.15 绿肥作物 
            S431.16 经济作物 
            S431.18 野生植物 
            S431.191 热带、亚热带作物 
            S431.192 园艺作物 
          S431.2 中长期预测预报 
          S431.3 统计预测 
          S431.7 预测预报仪器和设备 
          S431.9 新技术在预测预报中的应用 
        S432 植物病害及其防治 
          S432.1 植物病理学 
          S432.2 植物免疫学 
            S432.2+1 品种抗性 
            S432.2+2 生理生化 
            S432.2+3 抗病机理 
            S432.2+4 环境与抗病关系 
            S432.2+5 栽培防病 
            S432.2+6 药物处理作用抗病性 
            S432.2+9 其他 
          S432.3 非侵（传）染性病害 
            S432.3+1 盐害 
            S432.3+2 营养不足所致病害 
            S432.3+3 水分失调所致病害 
            S432.3+4 温度不适所致病害 
            S432.3+5 中毒 
            [S432.3+9] 其他物理化学环境因素影响所致病害 
          S432.4 侵（传）染性病害 
            S432.4+1 病毒 
            S432.4+2 细菌 
            S432.4+3 放线菌 
            S432.4+4 真菌 
            S432.4+5 线虫病 
          S432.6 寄生性植物所致病害 
          S432.9 植物器官病害 
            {S432.9+1} 繁殖器官 
            {S432.9+2} 营养器官 
            {S432.9+3} 幼苗 
            {S432.9+4} 叶状体、低等植物器官 
            {S432.9+5} 根、块根 
            {S432.9+6} 茎、地下茎、块茎 
            {S432.9+7} 叶、花 
            {S432.9+8} 穗、果实、种子 
            {S432.9+9} 其他器官 
        S433 植物虫害及其防治 
          S433.1 植物抗虫性 
          S433.2 直翅目害虫 
          S433.3 半翅目害虫 
          S433.4 鳞翅目害虫 
          S433.5 鞘翅目害虫 
          S433.7 蜱螨目害虫 
          S433.8 地下害虫 
            S433.8+1 金针虫 
            S433.8+2 地老虎 
            S433.8+3 蛴螬 
            S433.8+4 蝼蛄 
            S433.89 其他害虫 
          S433.9 植物器官虫害 
        S435 农作物病虫害及其防治 
          S435.1 禾谷类作物病虫害 
            S435.11 稻病虫害 
              S435.111 病害 
                S435.111.1 水稻病理学 
                S435.111.2 水稻免疫学 
                S435.111.3 非侵（传）染性病害 
                  S435.111.3+1 水稻生理性病害 
                    S435.111.3+11 苗期生理病 
                    S435.111.3+12 分蘖期生理性病害 
                    S435.111.3+13 抽穗结实期生理性病害 
                    S435.111.3+14 营养失调 
                    S435.111.3+15 土壤引起的营养失调 
                    S435.111.3+16 灾害性天气引起的营养失调 
                    S435.111.3+17 环境污染引起的营养失调 
                    S435.111.3+18 肥害 
                    S435.111.3+19 药害 
                  S435.111.3+2 坐秋 
                  S435.111.3+9 其他非侵（传）染性病害 
                S435.111.4 侵（传）染性病害 
                  S435.111.4+1 稻瘟病 
                  S435.111.4+2 稻纹枯病 
                  S435.111.4+3 稻胡麻斑病 
                  S435.111.4+4 稻恶苗病 
                  S435.111.4+5  居 枯病 
                  S435.111.4+6 其他稻真菌病 
                  S435.111.4+7 稻白叶枯病 
                  S435.111.4+8 稻干尖线虫病 
                  S435.111.4+9 其他细菌、病毒病 
              S435.112 虫害 
                S435.112+.1 水 久?
                S435.112+.2 稻苞虫 
                S435.112+.3 稻虱 
                S435.112+.4 稻蝗 
                S435.112+.5 稻瘿蚊 
                S435.112+.6 稻象甲 
                S435.112+.9 其他虫害 
              S435.115 深水稻病虫害 
              S435.116 陆稻（旱稻）病虫害 
              S435.119 野生稻病虫害 
            S435.12 麦类病虫害 
              S435.121 病害 
                S435.121.3 非侵（传）染性病害 
                S435.121.4 侵（传）染性病害 
                  S435.121.4+1 秆锈病 
                  S435.121.4+2 条锈病 
                  S435.121.4+3 叶锈病 
                  S435.121.4+4 黑穗病 
                  S435.121.4+5 赤霉病 
                  S435.121.4+6 白粉病 
                  S435.121.4+7 根腐病 
                  S435.121.4+8 叶枯病 
                  S435.121.4+9 其他传染性病害 
                {S435.121.5} 细菌、真菌病毒病 
              S435.122 虫害 
                S435.122+.1 小麦吸浆虫 
                S435.122+.2 麦蚜 
                S435.122+.3 麦蜘蛛 
                S435.122+.4 麦叶蜂 
                S435.122+.5 麦杆蜂 
                S435.122+.9 其他害虫 
              S435.123 大麦病虫害 
              S435.125 黑麦病虫害 
              S435.126 燕麦病虫害 
              S435.129 其他麦类病虫害 
            S435.13 玉米病虫害 
              S435.131 玉米病害 
                S435.131.3 非侵（传）染性病害 
                S435.131.4 侵（传）染性病害 
                  S435.131.4+1 玉米黑粉病 
                  S435.131.4+2 玉米丝黑穗病 
                  S435.131.4+3 玉米北方炭疽病 
                  S435.131.4+9 其他玉米传染性病 
              S435.132 玉米虫害 
            S435.14 高粱病虫害 
            S435.15 粟（谷子）病虫害 
            S435.16 黍稷（糜子、稷子、黍子）病虫害 
            S435.17 荞麦病虫害 
            S435.19 其他禾谷类作物病虫害 
          S435.2 豆类作物病虫害 
            S435.21 小豆（赤豆）病虫害 
            S435.22 绿豆病虫害 
            S435.23  隙 病虫害 
            S435.24  愣 病虫害 
            S435.29 其他 
          S435.3 薯类作物病虫害 
            S435.31  适 病虫害 
              S435.311 病害 
              S435.312 非侵（传）染性病害 
              S435.313 侵（传）染性病害 
                S435.313+.1 黑斑病 
                S435.313+.2 贮藏期病害 
                S435.313+.3  适砦?
                S435.313+.4 茎线虫病 
                S435.313+.9 其他传染性病害 
              S435.315 虫害 
                S435.315+.1 甘薯小象虫 
                S435.315+.2 甘薯大象虫 
                S435.315+.3  适 叶虫 
                S435.315+.4 甘薯小蝇 
                S435.315+.9 其他虫害 
            S435.32 马铃薯（土豆）病虫害 
            S435.33 木薯（树薯）病虫害 
            S435.39 其他薯类作物病虫害 
          S435.4 饲料作物、牧草病虫害 
          S435.5 绿肥作物病虫害 
          S435.6 经济作物病虫害 
            S435.61 纤维作物病虫害 
              S435.62 棉病虫害 
                S435.621 病害 
                  S435.621.1 非侵（传）染性病害 
                  S435.621.2 侵（传）染性病害 
                    S435.621.2+1 立枯病 
                    S435.621.2+2 炭疽病 
                    S435.621.2+3 锈病 
                    S435.621.2+4 其他真菌病害 
                    S435.621.2+5 角斑病 
                    S435.621.2+9 其他细菌、病毒病 
                S435.622 虫害 
                  S435.622+.1 棉蚜 
                  S435.622+.2 棉红蜘蛛 
                  S435.622+.3 棉红铃虫 
                  S435.622+.9 其他虫害 
              S435.63 麻类作物病虫害 
              S435.64 编织用纤维作物病虫害 
            S435.65 油料作物病虫害 
              S435.651 大豆病虫害 
              S435.652 花生病虫害 
              S435.653 芝麻（脂麻）病虫害 
              S435.654 油菜子（芸苔）病虫害 
              S435.655 向日葵病虫害 
              S435.656 蓖麻病虫害 
              S435.657 油橄榄病虫害 
              S435.658 荏（白苏）病虫害 
              S435.659 其他油料作物病虫害 
            S435.66 糖料作物病虫害 
              S435.661 甘蔗 
              S435.663 甜菜（甜萝卜） 
              S435.665 芦粟（糖高粱） 
              S435.666  情适?
              S435.667  亲亻?
              S435.669 其他 
            S435.67 药用作物病虫害 
              S435.671 木本作物病虫害 
              S435.672 草本作物病虫害 
              S435.673 菌类作物病虫害 
              S435.675 喜阴药物作物病虫害 
              S435.677 喜温药物作物病虫害 
            S435.71 饮料作物病虫害 
              S435.711 茶病虫害 
              S435.712 咖啡病虫害 
              S435.713 可可病虫害 
              S435.714 可拉病虫害 
              S435.719 其他饮料作物病虫害 
            S435.72 烟草病虫害 
            S435.73 香料作物病虫害 
            S435.74 染料作物病虫害 
            S435.75 漆料作物病虫害 
            S435.76 胶液料作物病虫害 
            S435.77 鞣料作物及单宁质植物病虫害 
            S435.79 其他经济作物病虫害 
        S436 园艺作物病虫害及其防治 
          S436.3 蔬菜病虫害 
            S436.31 根菜类病虫害 
            S436.32 薯芋类病虫害 
            S436.33 葱蒜类病虫害 
            S436.34 白菜类病虫害 
              S436.341 大白菜病虫害 
                S436.341.1 病害 
                  S436.341.1+1 病毒病 
                  S436.341.1+2 霜霉病 
                  S436.341.1+3 软腐病 
                  S436.341.1+4 干烧心 
                  S436.341.1+9 其他病害 
                S436.341.2 虫害 
                  S436.341.2+1 菜蚜 
                  S436.341.2+2 菜青虫 
                  S436.341.2+3 菜螟 
                  S436.341.2+4 小菜蛾 
                  S436.341.2+9 其他虫害 
              S436.344 芥菜类病虫害 
              S436.349 其他白菜类病虫害 
            S436.35 甘蓝类病虫害 
            S436.36 绿叶菜类病虫害 
            S436.41 茄果类病虫害 
              S436.411 茄子病虫害 
              S436.412 番茄病虫害 
                S436.412.1 病害 
                  S436.412.1+1 病毒病 
                  S436.412.1+2 晚疫病 
                  S436.412.1+3 灰霉病 
                  S436.412.1+4 早疫病 
                  S436.412.1+5 青枯病 
                  S436.412.1+9 其他病害 
                S436.412.2 虫害 
                  S436.412.2+1 烟青虫 
                  S436.412.2+2 白粉虱 
                  S436.412.2+9 其他虫害 
              S436.418 辣椒病虫害 
                S436.418.1 病害 
                  S436.418.1+1 炭疽病 
  
                  S436.418.1+2 病毒病 
                  S436.418.1+9 其他病害 
                S436.418.2 虫害 
              S436.419 其他茄果类病虫害 
            S436.42 瓜类病虫害 
              S436.421 黄瓜病虫害 
                S436.421.1 病害 
                  S436.421.1+1 霜霉病 
                  S436.421.1+2 白粉病 
                  S436.421.1+3 枯萎病 
                  S436.421.1+4 疫病 
                  S436.421.1+9 其他病害 
                S436.421.2 虫害 
                  S436.421.2+1 瓜蚜（腻虫、蜜虫） 
                  S436.421.2+2 白粉虱 
                  S436.421.2+3 红蜘蛛 
                  S436.421.2+9 其他虫害 
              S436.429 其他瓜类病虫害 
            S436.43 豆荚类病虫害 
            S436.44 多年生菜类病虫害 
            S436.45 水生菜类病虫害 
            S436.46 菌类（食用菌）病虫害 
              S436.46+1 病害 
              S436.46+2 虫害 
          S436.5 瓜果病虫害 
          S436.6 果树病虫害 
            S436.61 仁果类病虫害 
              S436.611 苹果病虫害 
                S436.611.1 病害 
                  S436.611.1+1 腐烂病 
                  S436.611.1+2 炭疽病 
                  S436.611.1+3 干腐病 
                  S436.611.1+4 白粉病 
                  S436.611.1+5 锈病 
                  S436.611.1+6 贮藏期病害 
                  S436.611.1+9 其他病害 
                S436.611.2 虫害 
                  S436.611.2+1 卷叶虫 
                  S436.611.2+2 苹果红蜘蛛 
                  S436.611.2+3 苹果蚜虫 
                  S436.611.2+4 苹果夭蝇 
                  S436.611.2+9 其他虫害 
              S436.612 梨病虫害 
                S436.612.1 病害 
                  S436.612.1+1 非传染性病害 
                  S436.612.1+2 传染性病害 
                    S436.612.1+3 黑星病 
                    S436.612.1+4 黑斑病 
                    S436.612.1+5 干枯病 
                    S436.612.1+6 腐烂病 
                    S436.612.1+9 其他 
                S436.612.2 虫害 
                  S436.612.2+1 梨象鼻虫 
                  S436.612.2+2 梨实蜂 
                  S436.612.2+3 梨星毛虫 
                  S436.612.2+4 吉丁虫 
                  S436.612.2+9 其他 
              S436.619 其他仁果类病虫害 
            S436.62 核果类病虫害 
              S436.621 桃病虫害 
                S436.621.1 病害 
  
                  S436.621.1+1 非传染性病害 
                  S436.621.1+2 传染性病害 
                    S436.621.1+3 褐腐病 
                    S436.621.1+4 炭疽病 
                    S436.621.1+5 腐烂病 
                    S436.621.1+9 其他 
                S436.621.2 虫害 
                  S436.621.2+1 桃蚜 
                  S436.621.2+9 其他 
              S436.629 其他核果类病虫害 
            S436.63 浆果类病虫害 
              S436.631   萄病虫害 
                S436.631.1 病害 
                  S436.631.1+1 非传染性病害 
                  S436.631.1+2 传染性病害 
                    S436.631.1+3 白腐病 
                    S436.631.1+4 黑腐病 
                    S436.631.1+5 炭疽病 
                    S436.631.1+6 根腐病 
                    S436.631.1+9 其他 
                S436.631.2 虫害 
                  S436.631.2+1 葡萄根瘤蚜 
                  S436.631.2+2  咸烟於?
                  S436.631.2+3 红蜘蛛 
                  S436.631.2+9 其他 
              S436.634    锾也〕婧?
                S436.634.1 病害 
                  S436.634.1+1 非传染性病害 
                  S436.634.1+2 传染性病害 
                    S436.634.1+3 干尖线虫病 
                    S436.634.1+4 炭疽病 
                    S436.634.1+5 褐腐病 
                    S436.634.1+9 其他 
                S436.634.2 虫害 
                  S436.634.2+1 吸果夜蛾 
                  S436.634.2+2 蓟马 
                  S436.634.2+3 金龟子 
                  S436.634.2+9 其他 
              S436.639 其他浆果类病虫害 
  
            S436.64 坚果类病虫害 
            S436.65 杂果类病虫害 
            S436.66 柑桔类病虫害 
              S436.661  探 病虫害 
                S436.661.1 病害 
                  S436.661.1+1 非传染性病害 
                  S436.661.1+2 传染性病害 
                    S436.661.1+3 树脂病 
                    S436.661.1+4 炭疽病 
                    S436.661.1+5 黑腐病 
                    S436.661.1+9 其他 
                S436.661.2 虫害 
                  S436.661.2+1 介壳虫类 
                  S436.661.2+2 天牛类 
                  S436.661.2+3 螨类 
                  S436.661.2+9 其他 
              S436.669 其他柑桔类病虫害 
            S436.67 热带及亚热带果类病虫害 
            S436.68 多年生草本果类病虫害 
          S436.8 观赏园艺类病虫害 
      S44 鸟兽害及其防治 
        S441 鸟害 
          S441.1 麻雀 
          S441.2 文鸟 
          S441.3 乌鸦 
          S441.9 其他 
        S442 兽害 
          S442.1 黑熊 
          S442.2 野兔 
          S442.3 野猪 
          S442.9 其他 
        S443 鼠害 
          S443.1 松鼠科 
          S443.2 鼯鼠科 
          S443.3 仓鼠科 
          S443.4 竹鼠科 
          S443.5 鼠科 
          S443.6 跳鼠科 
          S443.7 豪猪科 
          S443.9 其他 
      S45 有害植物及其清除 
        S451 杂草 
          S451.0 杂草分类 
          S451.1 杂草防治理论与方法 
          S451.2 化学除草 
            S451.21 水田化学除草 
            S451.22 旱田作物化学除草 
              S451.22+1 麦田化学除草 
              S451.22+2 玉米、高粱田间化学除草 
              S451.22+3 经济作物田间化学除草 
              S451.22+4 油料作物田间化学除草 
              S451.22+9 其他 
            S451.23 草场杂草及化学除草 
            S451.24 园艺作物田间化学除草 
              S451.24+1 蔬菜园艺田间化学除草 
              S451.24+2 瓜果园艺田间化学除草 
              S451.24+3 果树园艺田间化学除草 
              S451.24+4 观赏园艺田间化学除草 
        S452 毒草 
        S453 寄生植物 
        S459 其他有害植物 
      S46 其他灾害及其防治 
      S47 各种防治方法 
        S471 综合防治 
        S472 土壤消毒 
        [S473] 种子处理 
        S474 农业技术防治 
          S474+.1 耕作防治 
          S474+.2  喔确乐?
          S474+.3 施肥防治 
          S474+.4 田园清洁（除草）防治 
          S474+.9 其他 
        S475 人工防治 
          S475+.1 诱捕 
          S475+.2 烟熏 
          S475+.3 捕杀 
          S475+.9 其他 
        S476 生物防治 
          S476+.1 微生物病源的利用 
            S476+.11 昆虫细菌 
            S476+.12 昆虫真菌 
            S476+.13 昆虫病毒 
            S476+.14 原生动物 
            S476+.15 线虫 
            S476+.19 其他 
          S476+.2 捕食性昆虫的利用 
          S476+.3 寄生性昆虫的利用 
          S476+.4 食虫脊椎动物 
          S476+.5 家禽 
          S476+.6 害虫不孕的生物防治法 
          S476+.7 植物灾害的自然制约 
          S476+.8 利用抗生素的防治法 
          S476+.9 其他 
        S477 物理、机械防治 
          S477+.1 温度防治 
          S477+.2 压力真空防治 
          S477+.3 电流防治 
          S477+.4 射线防治 
          S477+.5 机械防治 
          S477+.6 超声波防治 
          S477+.9 其他 
      S48 农药防治（化学防治） 
        S481 植物化学保护理论 
          S481+.1 毒理学 
          S481+.2 药性持续作用 
          S481+.3 协生作用 
          S481+.4 抗药性 
          S481+.8 农药残毒 
          S481+.9 药效试验 
        S482 各种农药 
          S482.1 土农药（天然农药） 
          S482.2 杀菌剂 
            S482.2+1 无机杀菌剂 
            S482.2+2 有机硫杀菌剂 
            S482.2+3 有机胂、有机磷杀菌剂 
            S482.2+4 有机汞杀菌剂 
            S482.2+5 有机金属杀菌剂 
            S482.2+6 取代苯类、胺类杀菌剂 
            S482.2+7 杂环、醌类杀菌剂 
            S482.2+8 抗生素类及其他有机类杀菌剂 
            {S482.2+91} 醛类杀菌剂 
            S482.2+92 生物来源杀菌剂 
            {S482.2+93} 杀线虫剂 
            S482.2+94 防腐剂 
            S482.2+95 保鲜剂 
            S482.2+99 混合杀菌剂（复配剂、混配剂） 
          S482.3 杀虫剂 
            S482.3+1 无机杀虫剂 
            S482.3+2 有机氯杀虫剂 
            S482.3+3 有机磷类杀虫剂 
            S482.3+4 氨基甲酸脂类杀虫剂 
            S482.3+5 拟除虫菊脂类杀虫剂 
            S482.3+6 杂环类杀虫 
            S482.3+7 其他有机杀虫剂 
            S482.3+8 特异性昆虫控制剂 
            S482.3+9 其他杀虫剂 
            [S482.3+98] 杀虫剂增效剂 
          S482.4 除草剂（杀草剂） 
            S482.4+0 无机除草剂 
            S482.4+1 羧酸类、取代烃类除草剂 
            S482.4+2 三氮苯类除草剂 
            S482.4+3 氨基甲酸酯类除草剂 
            S482.4+4 脲类除草剂 
            S482.4+5 二硝基类除草剂 
            S482.4+6 酰胺类除草剂 
            S482.4+7 杂环类除草剂 
            S482.4+8 有机磷、有机胂、有机锡、有机硫类除草剂 
            S482.4+9 其他除草剂 
          S482.5 杀螨剂、杀鼠剂、杀其他生物剂 
            S482.5+1 杀线虫剂 
            S482.5+2 杀螨剂 
            S482.5+5 杀鼠剂 
            S482.5+6 杀鸟剂 
            S482.5+9 其他 
          S482.6 熏蒸剂 
          {S482.7} 抗菌素、微生物农药 
          S482.8 植物生长调节剂 
            S482.8+1  人 类植物生长调节剂 
            S482.8+2    豸人崂嘀参锷さ鹘诩?
            S482.8+3 苯基羧酸类植物生长调节剂 
            S482.8+4 苯、酚、萘类植物生长调节剂 
            S482.8+5 芴类植物生长调节剂 
            S482.8+6 取代烃类植物生长调节剂 
            S482.8+7 杂环类植物生长调节剂 
            S482.8+8 磷膦类植物生长调节剂 
            S482.8+91 生长促进剂 
            S482.8+92 生长抑制剂 
            S482.8+93 促枯剂 
            S482.8+94 脱叶剂 
            S482.8+95 疏花落果剂 
            S482.8+96 防落果剂 
            S482.8+97 催熟剂 
            S482.8+99 其他 
          S482.91 增效剂 
          S482.92 助剂 
          S482.99 其他用途药剂 
      S49 植物保护机械 
        S491 喷雾器、弥雾器、烟雾器 
          S491+.1 单管式喷雾器 
          S491+.2 压缩式喷雾器 
        S492 喷粉机（洒粉器） 
        S493 喷雾喷粉联合器 
          S493+.1 机动喷雾喷粉联合器 
          S493+.2 畜力喷雾喷粉联合器 
        [S494] 飞机施药 
        S495 熏烟器 
        [S496] 种子消毒机、拌种机 
        S497 土壤消毒器 
        S498 用火焰消灭病虫害和杂草的机械 
        S499 其他 
    S5 农作物 
      S5-3 理论与研究方法 
        S5-33 丰产实验（经验）、技术推广 
            S5/59 各种农作物 
        01 生物学原理 
        019 地理分布和区划 
        02 品种与种质资源（品种资源） 
          021 起源与演变 
          022 引种和驯化 
          023 品种分类 
          024 种质资源（品种资源） 
          029 品种志、品种目录 
        03 遗传育种和良种繁育 
          {031} 选种 
          032 遗传育种 
          033 优良品质的育种 
          034 抗逆品种的育种 
          035 各种育种方法、技术 
            035.1 杂交育种 
            035.2 引变（诱变）、突变及倍性育种法 
            035.3 生物技术育种法 
            035.4 综合育种法 
          037 品种试验和鉴定 
          038 良种繁育 
        04 播种、栽植、育苗 
          041 种子处理 
          042 播种 
          043 育苗 
          044 栽植 
          045 移植 
          046 建园、定植 
          047 种植制度 
          048 特种栽培技术 
        05 田间管理 
          051 苗期管理 
          052 中耕 
          053 除草 
          055 后期管理 
          059 其他 
        06 土壤、施肥 
          061 土壤、土壤管理 
          062 施肥 
        07 灌溉、排水 
          071 灌溉 
          072 排水 
        [08] 病虫害和其他灾害及其防治 
        09 收获、初加工、贮藏 
          091 收获 
          092 初加工 
          093 贮藏 
          {098} 机械化栽培 
          099 综合利用 
      S51 禾谷类作物 
        S511 稻 
          S511.2 按米的粘性分 
            S511.2+1 籼稻 
            S511.2+2 粳稻 
            S511.2+3 糯稻 
          S511.3 按成熟时期早迟分 
            S511.3+1 早稻 
            S511.3+2 中稻 
            S511.3+3 晚稻 
          S511.4 按栽培制度分 
            S511.4+1 单季稻 
            S511.4+2 双季稻 
            S511.4+3 三季稻 
          S511.5 深水稻 
          S511.6 陆稻（旱稻） 
          S511.9 野生稻 
        S512 麦 
          S512.1 小麦 
            S512.1+1 冬小麦 
            S512.1+2 春小麦 
            S512.1+9 其他小麦 
          S512.3 大麦 
            S512.3+1 啤酒大麦 
            S512.3+2 饲料大麦 
          S512.4 小黑麦 
          S512.5 黑麦 
          S512.6 燕麦 
          S512.9 其他 
        S513 玉米（玉蜀黍） 
        S514 高粱 
        S515 粟（谷子、小米） 
        S516 黍、稷（糜子、黍子、粘糜子） 
        S517 荞麦 
        S519 其他 
      S52 豆类作物 
        S521 小豆（赤豆） 
        S522 绿豆 
        S529 其他 
      S53 薯类作物 
        S531 甘薯（红薯） 
        S532 马铃薯（土豆） 
        S533 木薯（树薯） 
        S539 其他 
      S54 饲料作物、牧草 
        S541 多年生豆科牧草 
          S541+.2 三叶草 
          S541+.3 紫云英 
          S541+.4 驴食豆（红豆草） 
          S541+.5 胡枝子 
          S541+.6 五叶草（百脉根） 
          S541+.9 其他 
        S542 一年生豆科牧草 
          S542+.1 鸡眼草 
          S542+.2 猪屎豆 
          S542+.3 巢菜（野豌豆） 
          S542+.4 天蓝苜蓿 
          S542+.9 其他 
        S543 多年生禾本科牧草 
          S543+.1 猫尾草（梯牧草） 
          S543+.2 鹅观草 
  
          S543+.3 鸭茅（鸡脚草） 
          S543+.4 红顶草（小糠草） 
          S543+.5 狐茅（牛尾草） 
          S543+.6 黑麦草 
          S543+.7 燕麦草 
          S543+.8 雀麦草 
          S543+.9 其他 
        S544 一年生禾本科牧草 
          S544+.1 苏丹草 
          S544+.2 画眉草 
          S544+.3 狗尾草 
          S544+.9 其他 
        S545 杂草类 
        S546 饲用根类作物 
        S547 饲用瓜类作物 
        S548 其他饲料作物 
      S55 绿肥作物 
        S551 豆科绿肥 
          S551+.2 苕子 
          S551+.3 紫穗槐 
          S551+.4 蚕豆（胡豆） 
          S551+.5 田菁 
          S551+.6 草木樨 
          S551+.7 苜蓿 
  
          S551+.9 其他 
        S553 非豆科绿肥 
          S553+.1 肥田萝卜 
          S553+.2 黄荆 
          S553+.3 马桑 
          S553+.4 芍草 
          S553+.9 其他 
        S555 水生绿肥 
          S555+.1 绿萍、红萍、猪母草 
          S555+.2 水花生 
          S555+.3 湖草 
          S555+.4 水浮莲 
          S555+.5 水葫芦 
          S555+.6 藻类 
          S555+.9 其他 
  
      S56 经济作物 
        S561 纤维作物 
          S562 棉 
          S563 麻类作物 
            S563.1 苎麻 
            S563.2 亚麻 
            S563.3 大麻（白麻、线麻） 
            S563.4 黄麻（绿麻、络麻） 
            S563.5 红麻（槿麻、洋麻、钟麻） 
            S563.6 茼麻（青麻） 
            S563.7 罗布麻 
            S563.8 龙舌兰 
            S563.9 其他 
          S564 编织用纤维作物 
            S564+.1 藤类 
            S564+.2 芦苇 
            S564+.3 菖蒲 
            S564+.4 草类 
            S564+.5 杞柳 
            S564+.6 棕榈 
            S564+.9 其他 
        S565 油料作物 
          S565.1 大豆 
          S565.2 花生 
          S565.3 芝麻（脂麻） 
          S565.4 油菜籽（芸薹） 
          S565.5 向日葵 
          S565.6 蓖麻 
          S565.7 油橄榄 
          S565.8 荏（白苏） 
          S565.9 其他 
        S566 糖料作物 
          S566.1 甘蔗 
          S566.3 甜菜（甜萝卜） 
          S566.5 芦粟（糖高粱） 
          S566.6  情适?
          S566.7  亲亻?
          S566.9 其他 
        S567 药用作物 
          S567.1 木本 
            S567.1+1 厚朴 
            S567.1+2 肉桂 
            S567.1+3 豆蔻 
            S567.1+4 金鸡纳树 
            S567.1+5 牡丹 
            S567.1+9 其他 
          S567.2 草本 
            S567.21 一年生 
              S567.21+1 苍术 
              S567.21+2 罂粟 
              S567.21+9 其他 
            S567.23 多年生 
              S567.23+1 贝母 
              S567.23+2 麦冬 
              S567.23+3 白术 
              S567.23+4 生地 
              S567.23+5 薄荷 
              S567.23+6 三七 
              S567.23+7 绞股兰 
              S567.23+9 其他 
          S567.3 菌类 
            S567.3+1 灵芝 
            S567.3+2 茯苓 
            S567.3+3 麦角菌 
            S567.3+4 银耳 
            S567.3+5 冬虫夏草 
            S567.3+9 其他 
          S567.5 喜阴药物 
            S567.5+1 人参 
            S567.5+2 黄连 
            S567.5+3 其他 
          S567.7 喜温药物 
            S567.7+1 甘草 
            S567.7+9 其他 
          S567.9 其他药用作物 
        S571 饮料作物 
          S571.1 茶 
          S571.2 咖啡 
          S571.3 可可 
          S571.4 可拉 
          S571.9 其他 
        S572 烟草（菸草） 
        S573 香料作物 
          S573+.1 五香 
          S573+.2 胡荽 
          S573+.3 洋茴香 
          S573+.4 香茅草 
          S573+.5 枫茅 
          [S573+.6] 茉莉 
          [S573+.7] 玫瑰 
          S573+.8 山苍子 
          S573+.9 其他 
        S574 染料作物 
        S575 漆料作物 
        S576 胶液料作物 
        S577 鞣料作物及单宁质植物 
      S58 野生植物 
      S59 热带、亚热带作物 
    S6 园艺 
      S6-0 园艺理论与研究方法 
        S6-06 米丘林的园艺学说 
      S6-3 园艺研究方法与工作方法 
        S6-33 丰产试验（经验）、技术推广 
      S60 一般性问题 
        S601 生物学原理 
        S601.9 地理分布和区划 
        S602 品种与种质资源（品种资源） 
          S602.1 起源与演变 
          S602.2 引种和驯化 
          S602.3 品种分类 
          S602.4 种质资源（品种资源） 
          S602.9 品种志、品种目录 
        S603 遗传育种与良种繁育 
          {S603.1} 选择育种 
          S603.2 遗传育种 
          S603.3 优良品种的育种 
          S603.4 抗逆品种的育种 
          S603.6 育种方法、技术 
          S603.7 品种试验和鉴定 
          S603.8 良种繁育 
        S604 播种、栽植、育苗 
          S604+.1 种子处理 
          S604+.2 播种 
          S604+.3 育苗 
          S604+.4 移植（假植） 
          S604+.5 建园、定植 
          S604+.6 种植制度 
          S604+.7 特种栽培技术 
        S605 园艺管理 
          S605+.1 整形 
          S605+.2 支架 
          S605+.3 防护 
          S605+.4 整地 
          S605+.5 除草 
          S605+.9 其他 
        S606 土壤、施肥 
          S606+.1 土壤 
          S606+.2 施肥 
        S607 灌溉、排水 
          S607+.1 灌溉 
          S607+.2 排水 
        [S608] 病虫害和其他灾害及其防治 
        S609 收获、初加工、贮藏 
          S609+.1 收获 
          S609+.2 初加工 
          S609+.3 保鲜与贮藏 
        {S609.8} 机械化栽培 
        S609.9 综合利用 
      S61 苗圃学 
        S611 设计 
        S612 设备 
        S613 播种 
        S614 压条 
        S615 扦插 
        S616 嫁接 
        S617 栽植、定植 
        S618 管理 
        S619 苗木包装、运输及贮藏 
